,DSP-1001660005648-A-C05.dcc,DSP-1001660005648-A-C06.dcc,DSP-1001660005648-A-C12.dcc,DSP-1001660005648-A-D05.dcc,DSP-1001660005648-A-D06.dcc,DSP-1001660005648-A-D09.dcc,DSP-1001660005648-A-E06.dcc,DSP-1001660005649-B-B12.dcc,DSP-1001660005649-B-E09.dcc,DSP-1001660005649-B-G03.dcc,DSP-1001660005649-B-H09.dcc,DSP-1001660012099-C-E07.dcc,DSP-1001660012099-C-F03.dcc,DSP-1001660012099-C-F11.dcc,DSP-1001660012099-C-G09.dcc,DSP-1001660005648-A-D01.dcc,DSP-1001660005648-A-D10.dcc,DSP-1001660005649-B-C01.dcc,DSP-1001660005649-B-C02.dcc,DSP-1001660005649-B-C05.dcc,DSP-1001660005649-B-C08.dcc,DSP-1001660005649-B-C09.dcc,DSP-1001660005649-B-C12.dcc,DSP-1001660005649-B-D03.dcc,DSP-1001660005649-B-D04.dcc,DSP-1001660005649-B-F05.dcc,DSP-1001660005649-B-F09.dcc,DSP-1001660005649-B-G08.dcc,DSP-1001660005649-B-G11.dcc,DSP-1001660005649-B-H01.dcc,DSP-1001660012098-D-A06.dcc,DSP-1001660012099-C-E02.dcc,DSP-1001660012099-C-E06.dcc,DSP-1001660012099-C-E08.dcc,DSP-1001660012099-C-F02.dcc,DSP-1001660012099-C-G01.dcc,DSP-1001660012099-C-G05.dcc,DSP-1001660012099-C-G06.dcc,DSP-1001660005649-B-B11.dcc,DSP-1001660005649-B-C06.dcc,DSP-1001660005649-B-F01.dcc,DSP-1001660005649-B-F11.dcc,DSP-1001660005649-B-F12.dcc,DSP-1001660005649-B-G01.dcc,DSP-1001660005649-B-G07.dcc,DSP-1001660005649-B-H02.dcc,DSP-1001660005649-B-H05.dcc,DSP-1001660005649-B-H06.dcc,DSP-1001660005649-B-H08.dcc,DSP-1001660012098-D-A02.dcc,DSP-1001660012098-D-A09.dcc,DSP-1001660012098-D-B02.dcc,DSP-1001660012098-D-B03.dcc,DSP-1001660012099-C-E04.dcc,DSP-1001660012099-C-E05.dcc,DSP-1001660012099-C-E10.dcc,DSP-1001660012099-C-G02.dcc,DSP-1001660012099-C-G04.dcc,DSP-1001660005649-B-E12.dcc,DSP-1001660005649-B-G06.dcc,DSP-1001660005649-B-H12.dcc,DSP-1001660012099-C-F10.dcc
CEP55,-1.58666723844483,-1.58666723844483,0.03441614816703997,1.5484116594032202,1.07746025211385,1.98613903234836,-1.58666723844483,0.7784986503909401,0.9940915463450901,-0.23218992070380984,0.03441614816703997,0.5499140405294303,-0.36348589072063,-0.11185248154287986,0.7039374824583002,0.6979426508554192,-2.1556894539243308,-0.24186013901087078,0.47428459560698943,-0.4486983165693508,-0.4486983165693508,-0.25851563412071066,-2.1556894539243308,-0.5346060673124609,0.2094764349114393,-1.3969429884225988,-0.2802163227314607,0.3479477316482793,-0.5346060673124609,0.0882558974312393,-0.6539613335779708,-0.8012121361833107,-0.11511638795379087,0.6979426508554192,-0.11511638795379087,-0.11511638795379087,-0.5346060673124609,0.4250693308655893,0.4824732085667369,1.252386217579017,1.252386217579017,0.15788038570150675,0.6980661045208869,1.3748830190411767,0.4824732085667369,0.9709394245107168,0.15788038570150675,0.8065295477441969,-0.14476071071693308,-0.07894019285075315,0.25388859870522706,1.1384171080345267,1.4243565626915968,-0.528215362528013,-0.8555175862551332,0.5632190680785669,0.747281369262287,1.3351952904891569,-0.3430478741147598,0.34304787411476,1.15610691292397,1.15610691292397
CXXC5,0.40130641896270447,1.1204805849761446,0.7655622849411445,0.9181549386275645,1.4770710952582844,0.051311499755564594,1.5048846758998247,1.0561406507116344,1.1577508022495744,0.40130641896270447,1.0561406507116344,-0.14100096377631566,-0.006413937469445408,-0.26362123240460544,-0.1617209649139153,1.1786786866562027,0.7906965230386529,-0.41252900357706723,1.6155904019353624,0.287340170513823,-0.492348411433877,2.029239352325223,0.4109611977938328,1.8824935661544524,-0.9189463606802373,-0.25107644975356713,-0.10588732187102723,0.6132868441424129,0.733949894364863,0.4109611977938328,0.0983239417373829,0.175559471197273,0.8452953094252429,0.16529523118373302,-0.2702971986375471,0.7047169981968229,-0.5943535378150071,1.0357505306387926,-0.42724252747305025,-3.2808746322528,-0.42724252747305025,0.3535242868992996,-0.42724252747305025,1.1798746105716198,-1.6597912456409303,-0.023298932942590334,-1.2403015662822603,0.4693413174366299,-0.7772374466801901,0.0,-0.31844103221119013,-3.2808746322528,-0.2597648439492404,-0.7772374466801901,-0.42724252747305025,-1.0921701788403602,-1.2403015662822603,-0.65090058272148,-0.4051392891145351,-1.091235037344055,0.4079197496946749,0.13504642970484504
ERBB2,2.6215519530353903,1.3934915018982297,5.31267988259228,0.5375217554520502,4.29206261419183,5.34284493385779,3.6088528967751303,-0.8475283054016098,0.24215094440046014,0.8378463243060503,2.2661886032892404,3.3309606620516705,4.16275127573975,4.46189029415904,2.3869169874124703,-0.1935935752720499,-3.0472256800518,0.05915915659710036,0.46124065647688006,4.0255525879048,-0.1935935752720499,0.37655801358684027,1.64836250807957,0.46124065647688006,0.0,0.05915915659710036,0.49835691139471017,3.9428284812620404,0.8609532722764803,0.56285080801482,0.8521250007184502,-0.1935935752720499,-0.1935935752720499,0.19618788490878014,-1.00665261408126,-0.5435884944791898,0.0,-0.1935935752720499,-1.4499994841038097,-0.2174507659359297,0.06399602713237051,-0.7059169818799096,-0.4903240859257596,-1.0305098047451398,0.43738346581300025,-2.2404038116885525,-1.0305098047451398,-2.2404038116885525,-0.5674456851430696,0.01192859533194035,-1.9786074462722496,0.47449972073083035,-0.4069553801569996,-1.0305098047451398,-1.4499994841038097,-0.8823784173032396,-0.44110882118435946,-0.023857190663879813,0.6442325379250757,0.18035914954544552,-0.18035914954544463,0.7524641386397555
ESR1,-0.9899508158222912,0.36452650191872893,1.375215073013479,2.145128082025759,0.4848639410796589,-0.9899508158222912,-0.9899508158222912,-0.9899508158222912,-0.9899508158222912,-0.9899508158222912,0.6311325707895787,-0.3426841754050691,0.2332305319019088,-0.07176324058520311,-0.15927175679516414,2.1562145889701987,0.9788996841825486,-0.30292691628625934,2.6885425679014388,0.8760439386325187,0.030802042655438733,2.0080222199745488,-1.0616733817879913,1.6467695951092187,1.3034925070477787,1.7919587229917586,0.8137997494048788,0.2928039359530288,2.7957489765127486,0.2928039359530288,2.6885425679014388,-1.0616733817879913,2.2345274258673387,0.6352748800930788,2.073405516060059,0.6762585877641087,-0.03449828777409136,3.143007257569499,-1.8553913509359847,-0.5009140331949646,0.18518171503455516,-1.8553913509359847,-0.05163886351770475,-1.8553913509359847,-1.8553913509359847,-1.0247122919088576,-0.5009140331949646,0.43521336996714544,-1.0247122919088576,-0.05163886351770475,-1.8553913509359847,0.02008178025688534,-0.38057659403403465,-0.5009140331949646,-0.8282162569220848,-1.8553913509359847,-0.8282162569220848,-1.8553913509359847,-0.6860957482295198,0.0,-0.6860957482295198,-1.342072002491872
EXO1,1.7902523703689348,1.0760015851833549,0.9375302884465149,-1.4276356003892552,0.7610688530231848,1.707443297458795,0.19344778622261471,0.9375302884465149,-1.4276356003892552,-0.0731582826482351,-0.40046050637535524,0.004572392665514791,0.6129374655812847,-0.20445425266505524,0.6129374655812847,-0.16342011535894585,-1.7845035019708158,0.37257225934973426,-0.16342011535894585,-0.3522955089160458,-0.07751236461583577,0.3864952099533141,1.9657124477186143,0.7624869211028942,-0.7573284079569158,-0.16342011535894585,-1.7845035019708158,-1.7845035019708158,-0.16342011535894585,0.5512986967896143,-0.9914592458561987,1.0691286028089342,-1.7845035019708158,0.5333892610090543,-0.0465715324187157,-0.0465715324187157,-1.7845035019708158,-0.6173796164021756,1.01068857109475,0.6860957482295198,0.0,0.2666060688708498,-0.18735343217237999,0.38345465181107996,-1.35447731774102,-0.5237982587138931,0.0,0.0,0.9361274031621101,-1.35447731774102,-0.26200189329759005,0.8342271356714199,0.52099581345185,1.4991547870387298,0.6860957482295198,0.52099581345185,1.2754967317903,1.6927483623107797,0.0,0.0,0.0,2.04057306597054
FGFR4,-0.10802206767495197,3.262458556769658,-0.10802206767495197,1.2464552500660682,0.8101655075621361,-0.10802206767495197,-0.10802206767495197,-0.10802206767495197,1.0591018178936882,1.2464552500660682,0.919153026338948,1.324185925379818,2.831777756617548,2.080682385737488,1.6299099018771481,-1.8570659198166264,-1.8570659198166264,-0.6036576993454164,0.5080999690191437,-0.7645904953731963,0.6101050954002738,0.1835071461539135,0.1835071461539135,-1.0983194543148944,-0.8298908258027264,0.3000098415039236,0.018407211376243682,-0.5025886020756063,1.5134147046279836,0.47873627894380366,1.7702218103907836,-0.5025886020756063,-0.011044326825746298,1.7821486635672437,-0.5025886020756063,-0.5025886020756063,-0.23598253320475648,-0.053313432398346405,0.2666060688708498,0.6860957482295198,0.0,-1.35447731774102,-1.35447731774102,0.0,-1.35447731774102,-0.5237982587138931,0.0,-1.35447731774102,0.0,-1.35447731774102,-1.35447731774102,0.12033743916092998,1.09143443060658,0.0,-0.32730222372712015,0.12033743916092998,-0.32730222372712015,-0.32730222372712015,2.50363718557261,0.0,0.0,4.54975800107963
FOXA1,1.1577867673352191,0.0,1.1577867673352191,0.5996649853620193,0.4650740293625093,1.4424828850293494,0.5154808777078195,-2.5590239238116803,-1.0970958443759304,-2.1395342444530105,-0.1295667918801202,-0.4298913607341204,0.7011497180223394,0.7227642279090896,0.0,0.6061549268160134,-0.5536341304446468,1.1972472456668628,1.6560070840545134,1.263824306117903,1.3311215488793735,1.4178433645820832,-0.25330956159064666,1.5477896620238427,0.2712597484520627,-0.223494647672827,0.05891959609464337,-0.3956711278057967,0.7024879727210527,0.10496907217576279,1.2101565947640527,-0.004859348131517116,0.5029262497801934,1.5303960671386934,-1.8002128945614668,-0.7310438093408869,0.748345005870223,0.24590792094555347,-0.33165069423930804,4.0218462570400515,-0.6562435171045382,2.5650553132869316,-0.8930640956567981,-1.866137524047951,-2.696816583075078,-0.958884613522978,-2.696816583075078,-1.342339265334058,3.339188851831122,-1.529692697506438,-2.049549942657856,-2.696816583075078,-0.25090483472747804,0.15681552170467183,-0.33165069423930804,-1.77862900783799,-2.696816583075078,0.5210713876831119,-0.301128318239412,-0.1431653156005619,-0.6808636434842321,0.6442439202025279
FOXC1,0.0,-1.62108338661187,-1.62108338661187,0.8825537989607402,-1.62108338661187,-0.2666060688708498,0.0,0.0,-0.4539595010432298,-0.2666060688708498,0.7440825022239002,0.8460876286050303,-0.7028958113747819,-0.7028958113747819,-0.2666060688708498,-0.31326520041554273,0.10622447894312725,-1.9343485870274126,0.4308173018083574,0.0033687333930974006,-1.9343485870274126,-0.8181279464787325,0.10622447894312725,-0.6809403665562026,-1.9343485870274126,0.6126418360462973,-0.05887545583454257,-1.9343485870274126,0.10622447894312725,-0.007331949149682604,-0.25709717958597267,0.10622447894312725,-0.08832699403653255,-1.1291540461329166,-0.19641661747531258,-0.5798712692863925,-0.31326520041554273,-0.7672247014587725,1.86341065301717,1.78060158010703,0.0,1.4991547870387298,0.4492751696772599,0.0,0.2666060688708498,-1.35447731774102,1.14915986783159,0.38345465181107996,0.38345465181107996,-0.18735343217237999,0.07773067531374989,1.4991547870387298,1.30965017281766,1.14915986783159,0.6860957482295198,-0.43628974250393204,-0.32730222372712015,1.86341065301717,-0.3369563772579449,-1.691433694998965,1.679046929445645,0.11231879241931497
GPR160,2.335186883432699,1.3333608288108891,1.8688279437327187,1.4757223950260392,1.0767062855964689,0.2788139812623589,-0.9537347369055211,-0.20965223468162097,-0.771065636099111,-0.5342450575468511,0.2788139812623589,0.16113296896223916,-0.12890637516979098,0.4462916647861688,-1.220340805776371,0.7142507851855799,-0.46306411960207017,1.5767182468886398,0.5435884944791898,1.5220425240669302,1.9147638984237396,0.0,-0.46306411960207017,-0.8825537989607402,1.1307617335794897,1.8452010608543103,-0.31493273216017004,1.06916908522058,2.87081668122641,0.46923853919701,3.48008117064012,0.0,0.7925636220827199,3.33689484068909,-0.76570521602051,0.4975706825502999,0.5435884944791898,-0.08147824672201986,-2.6456011114989555,-2.6456011114989555,-2.6456011114989555,0.9887978076531443,-0.06484232670903545,-0.35499639059582533,-1.0245177248870856,-0.9076691419468554,-0.14196392592634544,-0.35499639059582533,1.4049394070444747,-0.8418486240806755,0.31683248854265456,-0.19968936315135544,0.01852637905972454,-0.14196392592634544,-1.6184260174850555,-0.7701279803060854,-2.6456011114989555,0.40162456855284434,1.6637467147891274,-0.5545822382630425,-1.9090595560040626,2.4784526188471974
GRB7,1.9252904360444867,-0.22869858274317312,5.764955909709647,-0.22869858274317312,4.850034243755086,5.8583735548372164,3.7547181772745764,0.7819899883515768,-0.4160520149155531,1.2704562042955567,2.5550222128227866,2.7567263300502165,3.319695637848447,3.759998070170077,0.4573971654863467,1.0196867112652803,-1.8339453935144696,-0.5805371730432596,0.5312204953213004,3.95669662615217,-0.40173740045969963,-0.4794680757734495,1.9162705561749604,0.5312204953213004,0.5312204953213004,0.3231303678060804,-0.35913063661251954,3.78864480193843,-0.4794680757734495,0.5018568052459604,-0.0002278528203096819,-0.4794680757734495,0.012076199476410476,-0.2523448850662997,-1.0032663344873427,-0.09601342396236956,-0.8067702995005697,-0.6668215079458295,-1.62108338661187,-1.62108338661187,0.41948967935867,0.0,0.18266910080641008,-1.62108338661187,-1.62108338661187,-1.62108338661187,-0.2666060688708498,0.11684858294023015,-1.62108338661187,0.18266910080641008,-0.18887539355709992,-0.7028958113747819,1.0430441039468101,-1.62108338661187,0.7440825022239002,-1.62108338661187,0.0,-1.62108338661187,-0.05734484031696763,0.8392390045927125,0.6618293256964725,0.17203452095090244
