,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
IARS2,0.538123115,0.135850104,113.3193864,3.961153499,0.000130723,0.002429221,NO,NA
SMARCE1,0.684357772,0.172199086,99.19864409,3.974224186,0.000134076,0.002480408,NO,NA
TFAP2C,-0.834728472,0.210698699,107.6225025,-3.961716304,0.00013405,0.002480408,NO,NA
CDK3,-0.770549674,0.194826132,109.8021974,-3.955063239,0.000135891,0.002502811,NO,NA
AURKAIP1,-0.560382241,0.142055967,116.5777222,-3.944799018,0.000136849,0.002509307,NO,NA
FAM168B,-0.634902733,0.160245991,102.5298952,-3.962050639,0.000137504,0.002515754,NO,NA
NAE1,0.836430786,0.208921704,78.57569475,4.003560994,0.000140483,0.002564589,NO,NA
SCAF11,0.58228586,0.14808943,117.3983269,3.931987986,0.000142954,0.002598258,NO,NA
DNM1L,0.762012726,0.192464166,96.59152938,3.959244677,0.000143749,0.002606989,NO,NA
RFX2,-0.652192752,0.166026233,115.0671594,-3.928251222,0.000146363,0.002648593,NO,NA
MEGF8,-0.524964459,0.133748711,112.8225223,-3.925005753,0.000149571,0.002685377,NO,NA
MED14,0.708458338,0.180470501,113.2463667,3.925618508,0.000148957,0.002685377,NO,NA
GFER,-0.642023676,0.163470497,111.5106365,-3.927458999,0.000149115,0.002685377,NO,NA
HTATSF1,0.736029731,0.18759984,113.4561629,3.923402768,0.000150029,0.002685377,NO,NA
PPIP5K2,-0.654479851,0.165773193,95.84189455,-3.948043942,0.00015034,0.002685377,NO,NA
FAM13B,-0.65949246,0.167442785,100.4814818,-3.938613779,0.000151376,0.00269058,NO,NA
UHRF2,-0.861392865,0.220001492,117.9183354,-3.915395559,0.000151605,0.00269058,NO,NA
ASAH1,0.899843802,0.229073103,107.7761455,3.928194933,0.000151349,0.00269058,NO,NA
GRK6,-0.927469606,0.23665325,111.1631791,-3.91910784,0.000153968,0.002724986,NO,NA
ZDHHC20,0.670081136,0.170849953,108.5414375,3.922044605,0.000154201,0.002724986,NO,NA
RAB39A,-0.710279786,0.180076246,92.23604725,-3.944328037,0.000155864,0.002748504,NO,NA
RPS14,0.500257876,0.127110309,94.60815767,3.935620015,0.000158379,0.002781025,NO,NA
CYTH2,-0.658360732,0.168642248,117.8213281,-3.903889691,0.00015819,0.002781025,NO,NA
SPIN2A,-0.698003425,0.177441115,95.34990178,-3.933718658,0.000158735,0.002781378,NO,NA
POLL,-0.849226044,0.216461292,101.2202703,-3.923223576,0.000159361,0.002782806,NO,NA
KCNK4,-0.431217335,0.109678162,95.74183231,-3.931660833,0.000159528,0.002782806,NO,NA
COX20,0.613258675,0.156564203,104.9454528,3.916978875,0.00015985,0.002782806,NO,NA
SDHC,0.455029495,0.11602921,101.324557,3.92168053,0.000160159,0.002782806,NO,NA
RPS6,0.664337594,0.169417242,96.5523703,3.921310405,0.000164748,0.002856554,NO,NA
PARK7,0.493301576,0.12657802,108.3331703,3.897213579,0.000168892,0.002916196,NO,NA
GPAA1,-0.592822544,0.1523066,112.581209,-3.892297149,0.000168671,0.002916196,NO,NA
EPB41L4A,-0.950758992,0.24483894,117.9949757,-3.883201718,0.000170486,0.002937605,NO,NA
ANKRD30BL,-0.984441563,0.253514948,116.8428674,-3.883169696,0.000171289,0.002945326,NO,NA
MDH2,0.755783278,0.194721573,113.3379717,3.881353594,0.000174936,0.002995086,NO,NA
CRTAP,0.912729042,0.23537472,116.0211424,3.877770061,0.000175267,0.002995086,NO,NA
ABCF3,-0.754773058,0.193330414,94.95410872,-3.904057527,0.00017688,0.003016425,NO,NA
RPS15A,0.46183811,0.118508961,95.25221915,3.897073315,0.000181009,0.003074189,NO,NA
C6orf120,-0.86667949,0.224268999,117.670226,-3.864464072,0.000182749,0.003084768,NO,NA
PLXNB1,-0.661467776,0.170980491,113.9261149,-3.868673983,0.000182711,0.003084768,NO,NA
RNF103,-0.770252365,0.198637038,107.2950375,-3.877687522,0.000182105,0.003084768,NO,NA
UBE3C,-0.647024982,0.166811126,102.1972142,-3.878787935,0.000185968,0.003120054,NO,NA
CYCS,0.742172326,0.19178852,109.2315877,3.869743221,0.000185736,0.003120054,NO,NA
GOLT1B,0.815864903,0.210370867,101.4176776,3.878221906,0.000187096,0.003123539,NO,NA
HAGHL,-0.795417005,0.205801552,111.6039777,-3.864970873,0.000187001,0.003123539,NO,NA
PSMA2,0.631433792,0.163793775,117.4939379,3.855053655,0.000189227,0.00314923,NO,NA
GMPPB,-0.884971191,0.226711795,84.16423445,-3.903507489,0.000190456,0.00316332,NO,NA
LMAN1,0.596290492,0.154849231,117.5873282,3.850781094,0.000192111,0.003184438,NO,NA
TMEM258,0.62679386,0.161862664,99.43272617,3.872380721,0.000193046,0.003193546,NO,NA
TES,0.836200639,0.217335625,117.0318349,3.847508385,0.00019482,0.003216467,NO,NA
FAM110A,-0.950763014,0.246694842,109.5173715,-3.854004432,0.000196314,0.003228268,NO,NA
PRSS53,-0.769878658,0.20072471,115.5177215,-3.835495173,0.000204668,0.003358989,NO,NA
ALDH3B2,-0.548518462,0.141775097,90.73734591,-3.868933789,0.000205539,0.003366618,NO,NA
GOLGA6L9,-0.880481874,0.229842757,117.991861,-3.830801046,0.000206194,0.00337069,NO,NA
METTL3,-0.778854387,0.194963771,51.39742643,-3.994867261,0.000206954,0.003376454,NO,NA
TRMT13,-0.767874741,0.200501918,115.7877638,-3.829762566,0.000208722,0.003398594,NO,NA
CSRNP2,-0.636175581,0.166241859,117.2846839,-3.826807434,0.000209748,0.003408609,NO,NA
GBA,0.72422157,0.189230402,115.6557842,3.827194586,0.00021077,0.003418515,NO,NA
G3BP1,0.564808545,0.14768917,117.7832979,3.824305766,0.000211252,0.003419636,NO,NA
MGST3,0.670502246,0.175164889,109.3024318,3.827834722,0.000215838,0.003480786,NO,NA
PDXDC1,-0.439888632,0.11502982,112.4278834,-3.824126912,0.000215869,0.003480786,NO,NA
GNG12,0.874116624,0.227940569,103.1638851,3.834844436,0.0002165,0.003484171,NO,NA
SIL1,-0.60301029,0.157964533,116.3504276,-3.817377727,0.000217768,0.003497795,NO,NA
ATG4B,-0.762261272,0.199443759,111.7370131,-3.821935939,0.000218191,0.003497802,NO,NA
PCBP2,0.388161495,0.101201732,99.0771292,3.835522244,0.000220458,0.003527335,NO,NA
IPPK,-0.869187099,0.225829045,87.56017875,-3.848872046,0.000225067,0.003594135,NO,NA
ZNRF2,-0.743729397,0.195575529,117.2941433,-3.802773288,0.000228694,0.00364503,NO,NA
LDHA,0.849260148,0.223096459,111.7038254,3.806694879,0.000230456,0.003666065,NO,NA
ARMC7,-0.658865589,0.172931119,106.1963919,-3.809988578,0.000233192,0.003695295,NO,NA
NBEAL2,-0.770280525,0.202873879,117.2743552,-3.796844272,0.000233631,0.003695295,NO,NA
PPP1R16A,-0.956445586,0.251905914,117.795723,-3.79683657,0.00023319,0.003695295,NO,NA
THEM5,-0.510632115,0.1343618,113.1713949,-3.800426282,0.000234295,0.003698744,NO,NA
NUDT21,0.711231225,0.187385669,116.248012,3.795547594,0.000235617,0.003712538,NO,NA
PSD4,-0.826220856,0.217944893,107.968374,-3.790962217,0.000247572,0.003893508,NO,NA
RPS9,0.509315694,0.134191905,103.8485499,3.795427864,0.000248186,0.00389576,NO,NA
SLC25A5,0.654097342,0.172366056,103.2411031,3.794815277,0.000249425,0.003907818,NO,NA
PRELID1,-0.671923743,0.177835139,115.7225013,-3.778351942,0.000251058,0.003918592,NO,NA
PARD3,-0.918532148,0.243228834,117.9915671,-3.776411427,0.000250722,0.003918592,NO,NA
RPL5,0.543145522,0.142585296,90.25605361,3.809267409,0.000254006,0.003934952,NO,NA
HLA-C,0.875616771,0.230520076,97.63136981,3.798440413,0.000253143,0.003934952,NO,NA
PNISR,-0.668737949,0.177157877,116.5604489,-3.774813528,0.000253467,0.003934952,NO,NA
PAXBP1,-0.807881064,0.213476372,104.4158869,-3.784405065,0.000257378,0.003979761,NO,NA
TNFRSF25,-0.665782104,0.174962495,89.74225781,-3.805284699,0.000258352,0.003987371,NO,NA
PLEKHH3,-0.768499206,0.203080325,102.7983851,-3.784212991,0.000259471,0.003997201,NO,NA
DCTN2,0.707949216,0.186257586,90.03592139,3.800914803,0.000261839,0.004026203,NO,NA
MRPL42,0.641486387,0.17043172,116.8749361,3.763890822,0.000263241,0.004037889,NO,NA
APMAP,-0.460667114,0.121789201,100.7622899,-3.78249556,0.000263574,0.004037889,NO,NA
MED4,0.756016237,0.201239428,114.5660852,3.756799763,0.00027226,0.004155595,NO,NA
RPN2,0.533898966,0.141759726,103.6560477,3.766224586,0.000275358,0.004195154,NO,NA
TJP3,-0.898832931,0.239721412,117.8900837,-3.74948956,0.000276103,0.004198798,NO,NA
WDFY1,0.78971103,0.210684762,117.6366173,3.748306349,0.000277515,0.004212532,NO,NA
BRI3,0.573188251,0.152038275,97.95915531,3.770026012,0.000279174,0.004229972,NO,NA
TTC4,-0.729045567,0.194630093,117.1853847,-3.745800841,0.000280443,0.004241451,NO,NA
ANKRD10,-0.649377475,0.173089261,103.5045727,-3.751691311,0.00028998,0.004377699,NO,NA
PEDS1,-0.882802031,0.236282963,115.3976694,-3.736206881,0.000292009,0.004400312,NO,NA
