"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"SMAD1",-0.0440814441237769,0.301361436418866,56.999999999255,-0.146274336383596,0.884220923770848,0.956464046387234,"NO",NA
"SMAD5",-0.326650253776109,0.299469445163338,37.3722315121022,-1.09076321157888,0.282359932795126,0.603619728657355,"NO",NA
"SMAD7",0.389838515276189,0.286261427369734,37.8719714624112,1.3618269106605,0.181298864651088,0.501556092492363,"NO",NA
"MAN1A1",0.553215772830614,0.377135427443503,56.7175938486185,1.46688890137082,0.147929511940939,0.449033681952578,"NO",NA
"MAP1B",-0.621529218665922,0.361576614060115,53.0662612720783,-1.71894197383736,0.0914541220323446,0.352063172644385,"NO",NA
"MAT2A",-0.662486232373823,0.238521810744798,55.8859110507752,-2.77746605354526,0.00744371493154407,0.0818958114657228,"NO",NA
"MCM6",0.325074243959767,0.306548948695375,34.1444458353985,1.06043176903145,0.296392064664395,0.614660152269577,"NO",NA
"MDH1",-0.288516512604709,0.291121155422889,56.9969176484178,-0.99105306237743,0.325848452527418,0.637843398141381,"NO",NA
"MDH2",0.00227862543229154,0.300327753063567,51.5968796588907,0.00758712909162695,0.993975664472661,0.999026360898805,"NO",NA
"KMT2A",0.333215239092326,0.263440272817789,47.6891230328962,1.26486066662555,0.212067481455869,0.53256161101681,"NO",NA
"MLLT1",-0.262461841352838,0.351183807590907,56.9999999989166,-0.747363163334054,0.457916488385526,0.734646902343124,"NO",NA
"MT2A",-0.391595187186844,0.316741140741905,54.3138021381208,-1.2363256199356,0.221657418738527,0.540962582302178,"NO",NA
"MTHFD1",0.00550301549933289,0.252835729100565,40.210674503906,0.0217651813646325,0.98274291771366,0.995645052912933,"NO",NA
"NAB1",0.309483946809139,0.305534265448716,45.7351862236219,1.01292713062681,0.316423963037932,0.631661328254206,"NO",NA
"PRCC",-0.0629832187918908,0.284419595854413,50.8323598198896,-0.221444723605227,0.825633357767845,0.934064079140447,"NO",NA
"RNF6",0.24754880488014,0.234848189878265,56.9999999984054,1.05408010599723,0.296293982178942,0.614660152269577,"NO",NA
"SLC25A1",-0.589489316160278,0.324931840499322,38.0552430959865,-1.81419375600252,0.0775379632658239,0.324756576142887,"NO",NA
"TBCD",0.10555525952998,0.271832572432415,56.999999999786,0.388309828308833,0.699233332502717,0.874342108837419,"NO",NA
"TBX3",-0.831806497158512,0.399261916045332,56.170140697765,-2.08336048025194,0.0417812377988222,0.228690711188559,"NO",NA
"TSNAX",0.506211083492791,0.284535044229059,36.3527015674098,1.77908167643939,0.0835894443636464,0.336013621180058,"NO",NA
"TUBA4A",0.71213369733394,0.309893378217466,55.8925513453845,2.29799585079938,0.0253268410408445,0.174946783982023,"NO",NA
"UCHL3",-0.050222409519023,0.308972734044246,40.4493359596566,-0.16254641262886,0.871684910258702,0.950818559288757,"NO",NA
"UQCRFS1",0.0161203312392881,0.254063124577703,53.681382443199,0.0634501022770732,0.949643770699809,0.985022839925064,"NO",NA
"MANF",0.462358340986234,0.360760419123724,54.3720946820833,1.28162158728302,0.205413990939853,0.528638640838778,"NO",NA
"CLPP",0.485537992639227,0.309722600489988,26.9107123536003,1.56765438450761,0.128646773882892,0.419307361156672,"NO",NA
"LAGE3",-0.725467283477403,0.214236287094212,56.7810008367928,-3.38629507315151,0.00129159565750575,0.0269988600110022,"NO",NA
"ARID1A",0.281425481981448,0.262296103252522,57.0000000004545,1.07293047243828,0.287823822568964,0.607468504467171,"NO",NA
"CD164",0.267199384515565,0.203444765452771,55.1708492732178,1.31337556865081,0.194492494033655,0.518689771476982,"NO",NA
"CDC123",-0.0779288461640169,0.350653588037907,39.083325179356,-0.22223883862153,0.82528523380848,0.934064079140447,"NO",NA
"TAX1BP1",0.402921331574104,0.201898297646704,24.7337186239752,1.99566482863152,0.0570953456673779,0.272971552278851,"NO",NA
"H1-10",0.215674487867683,0.283068831718145,41.505702237143,0.761915349558629,0.450418535641977,0.73186333237912,"NO",NA
"CDC42BPB",-0.659679950674493,0.184571922016641,29.4578671372162,-3.57410782456399,0.00123438954728377,0.0267320961642995,"NO",NA
"MRC2",0.269336001493998,0.353350311645987,44.5421237755015,0.762235075552557,0.449937352981444,0.73186333237912,"NO",NA
"ATP9A",-1.06994754377006,0.280355056091329,56.9193844992524,-3.81640181092904,0.00033615258222586,0.0120377777648071,"DOWN","ATP9A"
"RBM12",-0.0284390273901027,0.30612839264657,56.999999998388,-0.0928990190822843,0.926309542635209,0.973584131715848,"NO",NA
"UBE4B",-0.118307217669474,0.270245680846327,43.4216166989155,-0.437776534666424,0.663718278323135,0.858477914762147,"NO",NA
"VPS26C",0.393502333368967,0.235996899155041,38.0906005499316,1.667404676832,0.103636474847114,0.375184486874298,"NO",NA
"TCIRG1",0.371086420652104,0.304646219806382,51.1610508423075,1.21808969396682,0.22877771115928,0.547807086632838,"NO",NA
"AKR1A1",0.0247274381588177,0.225915632248246,55.011713660271,0.109454303417331,0.913240464312561,0.967448666660581,"NO",NA
"TRIM22",1.07106073805745,0.380890408326778,46.4559692069402,2.81199188701688,0.00718956930904935,0.0803911229475131,"NO",NA
"CITED2",0.184149762878516,0.258958116126307,56.9955269207302,0.711117943060325,0.47991136957965,0.747423079569898,"NO",NA
"IRF9",-0.151602248413596,0.200975846563142,56.9999999990199,-0.754330687025946,0.453755884483738,0.733522650395482,"NO",NA
"TUBB4B",-0.989219640974977,0.28725524238882,56.82117237705,-3.44369569289183,0.00108433959423647,0.0244304141795186,"NO",NA
"CEPT1",0.10840847655862,0.278750239153646,56.9999999993027,0.388908999281129,0.698792511839662,0.874342108837419,"NO",NA
